code,code_name,industry,industryClassification
sh.600053,九鼎投资,非银金融,申万一级行业
sh.600056,中国医药,医药生物,申万一级行业
sh.600129,太极集团,医药生物,申万一级行业
sh.600132,重庆啤酒,食品饮料,申万一级行业
sh.600155,华创阳安,非银金融,申万一级行业
sh.600161,天坛生物,医药生物,申万一级行业
sh.600197,伊力特,食品饮料,申万一级行业
sh.600201,生物股份,农林牧渔,申万一级行业
sh.600211,西藏药业,医药生物,申万一级行业
sh.600276,恒瑞医药,医药生物,申万一级行业
sh.600298,安琪酵母,农林牧渔,申万一级行业
sh.600305,恒顺醋业,食品饮料,申万一级行业
sh.600380,健康元,医药生物,申万一级行业
sh.600436,片仔癀,医药生物,申万一级行业
sh.600511,国药股份,医药生物,申万一级行业
sh.600519,贵州茅台,食品饮料,申万一级行业
sh.600535,天士力,医药生物,申万一级行业
sh.600566,济川药业,医药生物,申万一级行业
sh.600690,青岛海尔,家用电器,申万一级行业
sh.600750,江中药业,医药生物,申万一级行业
sh.600763,通策医疗,医药生物,申万一级行业
sh.600779,水井坊,食品饮料,申万一级行业
sh.600809,山西汾酒,食品饮料,申万一级行业
sh.600816,安信信托,非银金融,申万一级行业
sh.600867,通化东宝,医药生物,申万一级行业
sh.600872,中炬高新,食品饮料,申万一级行业
sh.600887,伊利股份,食品饮料,申万一级行业
sh.601318,中国平安,非银金融,申万一级行业
sh.601888,中国国旅,休闲服务,申万一级行业
sh.603027,千禾味业,食品饮料,申万一级行业
sh.603043,广州酒家,食品饮料,申万一级行业
sh.603127,昭衍新药,医药生物,申万一级行业
sh.603136,天目湖,休闲服务,申万一级行业
sh.603156,养元饮品,食品饮料,申万一级行业
sh.603198,迎驾贡酒,食品饮料,申万一级行业
sh.603233,大参林,医药生物,申万一级行业
sh.603259,药明康德,医药生物,申万一级行业
sh.603288,海天味业,食品饮料,申万一级行业
sh.603301,振德医疗,医药生物,申万一级行业
sh.603317,天味食品,食品饮料,申万一级行业
sh.603345,安井食品,食品饮料,申万一级行业
sh.603351,威尔药业,医药生物,申万一级行业
sh.603355,莱克电气,家用电器,申万一级行业
sh.603368,柳药股份,医药生物,申万一级行业
sh.603369,今世缘,食品饮料,申万一级行业
sh.603387,基蛋生物,医药生物,申万一级行业
sh.603517,绝味食品,食品饮料,申万一级行业
sh.603579,荣泰健康,家用电器,申万一级行业
sh.603589,口子窖,食品饮料,申万一级行业
sh.603609,禾丰牧业,农林牧渔,申万一级行业
sh.603657,春光科技,家用电器,申万一级行业
sh.603658,安图生物,医药生物,申万一级行业
sh.603697,有友食品,食品饮料,申万一级行业
sh.603707,健友股份,医药生物,申万一级行业
sh.603711,香飘飘,食品饮料,申万一级行业
sh.603739,蔚蓝生物,农林牧渔,申万一级行业
sh.603811,诚意药业,医药生物,申万一级行业
sh.603858,步长制药,医药生物,申万一级行业
sh.603866,桃李面包,食品饮料,申万一级行业
sh.603868,飞科电器,家用电器,申万一级行业
sh.603883,老百姓,医药生物,申万一级行业
sh.603886,元祖股份,食品饮料,申万一级行业
sh.603919,金徽酒,食品饮料,申万一级行业
sz.000016,深康佳A,家用电器,申万一级行业
sz.000078,海王生物,医药生物,申万一级行业
sz.000333,美的集团,家用电器,申万一级行业
sz.000423,东阿阿胶,医药生物,申万一级行业
sz.000505,京粮控股,农林牧渔,申万一级行业
sz.000513,丽珠集团,医药生物,申万一级行业
sz.000516,国际医学,医药生物,申万一级行业
sz.000538,云南白药,医药生物,申万一级行业
sz.000568,泸州老窖,食品饮料,申万一级行业
sz.000596,古井贡酒,食品饮料,申万一级行业
sz.000650,仁和药业,医药生物,申万一级行业
sz.000651,格力电器,家用电器,申万一级行业
sz.000661,长春高新,医药生物,申万一级行业
sz.000813,德展健康,医药生物,申万一级行业
sz.000848,承德露露,食品饮料,申万一级行业
sz.000858,五粮液,食品饮料,申万一级行业
sz.000895,双汇发展,食品饮料,申万一级行业
sz.000921,海信家电,家用电器,申万一级行业
sz.000952,广济药业,医药生物,申万一级行业
sz.000963,华东医药,医药生物,申万一级行业
sz.000989,九芝堂,医药生物,申万一级行业
sz.000998,隆平高科,农林牧渔,申万一级行业
sz.000999,华润三九,医药生物,申万一级行业
sz.002001,新和成,医药生物,申万一级行业
sz.002007,华兰生物,医药生物,申万一级行业
sz.002019,亿帆医药,医药生物,申万一级行业
sz.002032,苏泊尔,家用电器,申万一级行业
sz.002035,华帝股份,家用电器,申万一级行业
sz.002050,三花智控,家用电器,申万一级行业
sz.002242,九阳股份,家用电器,申万一级行业
sz.002262,恩华药业,医药生物,申万一级行业
sz.002275,桂林三金,医药生物,申万一级行业
sz.002287,奇正藏药,医药生物,申万一级行业
sz.002294,信立泰,医药生物,申万一级行业
sz.002304,洋河股份,食品饮料,申万一级行业
sz.002311,海大集团,农林牧渔,申万一级行业
sz.002424,贵州百灵,医药生物,申万一级行业
sz.002507,涪陵榨菜,食品饮料,申万一级行业
sz.002508,老板电器,家用电器,申万一级行业
sz.002543,万和电气,家用电器,申万一级行业
sz.002626,金达威,医药生物,申万一级行业
sz.002653,海思科,医药生物,申万一级行业
sz.002677,浙江美大,家用电器,申万一级行业
sz.002714,牧原股份,农林牧渔,申万一级行业
sz.002737,葵花药业,医药生物,申万一级行业
sz.002755,奥赛康,医药生物,申万一级行业
sz.002773,康弘药业,医药生物,申万一级行业
sz.002821,凯莱英,医药生物,申万一级行业
sz.002847,盐津铺子,食品饮料,申万一级行业
sz.002860,星帅尔,家用电器,申万一级行业
sz.002868,绿康生化,农林牧渔,申万一级行业
sz.002880,卫光生物,医药生物,申万一级行业
sz.002901,大博医疗,医药生物,申万一级行业
sz.002907,华森制药,医药生物,申万一级行业
sz.002923,润都股份,医药生物,申万一级行业
sz.002932,明德生物,医药生物,申万一级行业
sz.002940,昂利康,医药生物,申万一级行业
sz.002946,新乳业,食品饮料,申万一级行业
sz.002950,奥美医疗,医药生物,申万一级行业
sz.300003,乐普医疗,医药生物,申万一级行业
sz.300015,爱尔眼科,医药生物,申万一级行业
sz.300122,智飞生物,医药生物,申万一级行业
sz.300144,宋城演艺,休闲服务,申万一级行业
sz.300176,派生科技,非银金融,申万一级行业
sz.300272,开能健康,家用电器,申万一级行业
sz.300347,泰格医药,医药生物,申万一级行业
sz.300357,我武生物,医药生物,申万一级行业
sz.300406,九强生物,医药生物,申万一级行业
sz.300439,美康生物,医药生物,申万一级行业
sz.300452,山河药辅,医药生物,申万一级行业
sz.300463,迈克生物,医药生物,申万一级行业
sz.300482,万孚生物,医药生物,申万一级行业
sz.300497,富祥股份,医药生物,申万一级行业
sz.300498,温氏股份,农林牧渔,申万一级行业
sz.300519,新光药业,医药生物,申万一级行业
sz.300529,健帆生物,医药生物,申万一级行业
sz.300558,贝达药业,医药生物,申万一级行业
sz.300584,海辰药业,医药生物,申万一级行业
sz.300595,欧普康视,医药生物,申万一级行业
sz.300601,康泰生物,医药生物,申万一级行业
sz.300630,普利制药,医药生物,申万一级行业
sz.300633,开立医疗,医药生物,申万一级行业
sz.300642,透景生命,医药生物,申万一级行业
sz.300653,正海生物,医药生物,申万一级行业
sz.300662,科锐国际,休闲服务,申万一级行业
sz.300677,英科医疗,医药生物,申万一级行业
sz.300685,艾德生物,医药生物,申万一级行业
sz.300723,一品红,医药生物,申万一级行业
sz.300725,药石科技,医药生物,申万一级行业
sz.300741,华宝股份,食品饮料,申万一级行业
sz.300753,爱朋医疗,医药生物,申万一级行业
sz.300759,康龙化成,医药生物,申万一级行业
sz.300760,迈瑞医疗,医药生物,申万一级行业
sz.300761,立华股份,农林牧渔,申万一级行业
sz.300765,新诺威,医药生物,申万一级行业
